barcode,name,location
840276058141.0,2300-0-Blush Pink-M,A13-301
840276058158.0,2300-0-Blush Pink-L,A13-302
840276058165.0,2300-0-Blush Pink-XL,A13-303
840276058172.0,2300-0-Blush Pink-2X-3X,A13-304
840276072963.0,2300-0-Copper Rose-XS,A13-305
840276072970.0,2300-0-Copper Rose-S,A13-400
840276072987.0,2300-0-Copper Rose-M,A13-401
840276071294.0,2300-0-Heather Grey-XS,A13-402
840276046681.0,2300-0-Heather Grey-S,A13-403
840276046698.0,2300-0-Heather Grey-M,A13-404
840276046704.0,2300-0-Heather Grey-L,A13-405
,8300-Black-M,A13-500
840276064111.0,8900-6-Black-M,A13-501
840276063503.0,8900-8-Fig-M,A13-502
840276063541.0,8900-8-Grey-XS,A13-503
840276063589.0,8900-8-Midnight-L,A13-504
840276067068.0,9900-3-Fig-2X-3X,A13-505
840276046711.0,2300-0-Heather Grey-XL,A14-100
840276046728.0,2300-0-Heather Grey-2X-3X,A14-101
840276072901.0,2300-0-Indigo White-XS,A14-102
840276072918.0,2300-0-Indigo White-S,A14-103
840276072925.0,2300-0-Indigo White-M,A14-104
840276072932.0,2300-0-Indigo White-L,A14-105
840276072949.0,2300-0-Indigo White-XL,A14-200
840276072840.0,2300-0-Indigo-XS,A14-201
840276072857.0,2300-0-Indigo-S,A14-202
840276072864.0,2300-0-Indigo-M,A14-203
840276070242.0,2300-0-Midnight-XS,A14-204
840276070259.0,2300-0-Midnight-S,A14-205
840276070266.0,2300-0-Midnight-M,A14-300
840276070273.0,2300-0-Midnight-L,A14-301
840276070297.0,2300-0-Midnight-2X-3X,A14-302
840276061493.0,2300-0-Surf-S,A14-303
840276061509.0,2300-0-Surf-M,A14-304
840276061516.0,2300-0-Surf-L,A14-305
840276061523.0,2300-0-Surf-XL,A14-400
840276061530.0,2300-0-Surf-2X-3X,A14-401
840276053689.0,2300-7-Black-XS,A14-402
840276053764.0,2300-7-Heather Grey-XS,A14-403
840276053726.0,2300-7-Sage-XS,A14-404
840276053733.0,2300-7-Sage-S-M,A14-405
840276055706.0,1414-8-Dusty Green-S,A14-500
840276066498.0,1440-8-Grey-S,A14-501
840276059445.0,2200-2-Heather Grey-S,A14-502
840276070150.0,2300-0-Blush Pink-XS,A14-503
840276070594.0,2300-6-Midnight-L,A14-504
840276065941.0,5200-2-Dusty Green-XL,A14-505
840276053757.0,2300-7-Sage-2X-3X,A15-100
840276059742.0,2500-6-Apricot-S,A15-101
840276059759.0,2500-6-Apricot-M,A15-102
840276059766.0,2500-6-Apricot-L,A15-103
840276059773.0,2500-6-Apricot-XL,A15-104
840276059780.0,2500-6-Apricot-2X-3X,A15-105
840276059797.0,2500-6-Black-S,A15-200
840276059803.0,2500-6-Black-M,A15-201
840276059810.0,2500-6-Black-L,A15-202
840276059827.0,2500-6-Black-XL,A15-203
840276059834.0,2500-6-Black-2X-3X,A15-204
840276059841.0,2500-6-Heather Grey-S,A15-205
840276059858.0,2500-6-Heather Grey-M,A15-300
